customer_id,age,gender,marital_status,city,education_level,employment_status,income,credit_score,years_employed,loan_amount,loan_term_months,existing_debt,previous_loans,late_payments,monthly_expenses,savings_balance,debt_to_income_ratio,loan_purpose,default_probability,loan_default
1,21,Female,Married,Pune,Bachelor,Salaried,338473,616,0,194509,120,550669,2,5,61127,273398,1.63,Education,0.574,1
2,51,Male,Single,Lucknow,Bachelor,Business,397476,553,30,1155298,60,818492,2,8,126978,2421363,2.06,Home,0.921,1
3,47,Male,Married,Hyderabad,Master,Salaried,1241594,444,16,1138295,12,1003568,9,6,50464,1134241,0.81,Car,0.851,1
4,23,Male,Married,Bengaluru,Master,Salaried,1967286,684,1,361685,48,1164772,8,9,55896,2328124,0.59,Home,0.472,1
5,61,Male,Single,Varanasi,Bachelor,Salaried,2162225,372,28,765609,48,435660,2,5,21022,2284731,0.2,Personal,0.551,1
6,30,Female,Single,Chennai,High School,Salaried,284666,509,2,2242037,12,35503,2,2,66271,2282685,0.12,Car,0.417,0
7,32,Female,Married,Bengaluru,Bachelor,Salaried,1701704,368,10,781664,36,25029,1,0,143616,1558944,0.01,Car,0.253,1
8,29,Female,Single,Delhi,Bachelor,Self-Employed,1426713,816,7,925900,36,335433,6,0,141645,2194883,0.24,Car,0.054,0
9,36,Male,Married,Delhi,Bachelor,Business,2806082,437,9,1429615,36,926479,2,9,58043,1944280,0.33,Personal,0.669,1
10,28,Female,Single,Mumbai,Bachelor,Self-Employed,1601003,681,7,1100996,84,590549,6,11,95498,400293,0.37,Home,0.313,0
11,36,Female,Single,Hyderabad,PhD,Self-Employed,2832132,495,5,1498141,24,1045014,4,9,112033,953473,0.37,Business,0.615,0
12,57,Male,Married,Jaipur,Bachelor,Self-Employed,2739051,530,32,1304527,48,1147615,5,8,86942,266749,0.42,Car,0.706,1
13,41,Male,Married,Chennai,Bachelor,Salaried,1620309,492,17,591419,48,1371214,1,9,119052,972468,0.85,Education,0.819,1
14,62,Male,Married,Chennai,Master,Business,607961,728,37,1634108,60,820100,4,6,15141,491891,1.35,Car,0.66,1
15,41,Male,Single,Hyderabad,Master,Business,2717743,359,17,188247,120,1058362,0,10,109182,2396144,0.39,Car,0.692,1
16,33,Female,Married,Chennai,Bachelor,Salaried,2243275,710,10,1880294,36,1325995,3,1,28021,1582411,0.59,Home,0.25,0
17,56,Female,Married,Lucknow,Master,Student,2490419,413,29,139797,12,751367,0,5,99668,595363,0.3,Home,0.658,1
18,57,Female,Married,Kolkata,Bachelor,Business,2259005,735,33,2105583,84,1173565,8,1,58298,344096,0.52,Personal,0.211,0
19,59,Female,Single,Pune,Bachelor,Salaried,586074,606,32,1159603,120,306461,3,4,143874,688625,0.52,Home,0.328,0
20,61,Female,Married,Varanasi,Bachelor,Salaried,2273682,419,36,1297725,120,859665,7,10,76336,1811535,0.38,Home,0.692,1
21,22,Female,Married,Kolkata,Bachelor,Student,330314,409,0,1315524,84,1245066,9,3,76973,812451,3.77,Home,0.745,1
